match_id,time,avg_summoner_lvl_ally,avg_match_history_length_ally,avg_win_rate_ally,sum_champ_mastery_ally,avg_summoner_lvl_enemy,avg_match_history_length_enemy,avg_win_rate_enemy,sum_champ_mastery_enemy,win
NA1_5009055556,2024-08-29 15:43:44.900117,269.0,20.0,0.57,524360,465.4,19.6,0.47,711025,1
NA1_5009047620,2024-08-29 15:45:04.188665,269.8,20.0,0.56,592684,483.6,19.6,0.53,2092007,1
NA1_5097030681,2024-08-29 15:45:32.495155,167.2,20.0,0.58,175240,354.8,20.0,0.54,612992,1
NA1_5096987525,2024-08-29 15:46:51.586601,221.2,20.0,0.62,538354,219.8,20.0,0.52,342247,1
NA1_5096951109,2024-08-29 15:47:19.450228,356.0,20.0,0.52,1108542,456.6,20.0,0.48,1538445,1
NA1_5090772420,2024-08-29 15:47:47.118659,167.2,20.0,0.55,223031,503.4,20.0,0.53,582014,0
NA1_5086881868,2024-08-29 15:49:07.576159,418.2,20.0,0.57,306959,276.8,20.0,0.56,778828,0
NA1_5086855659,2024-08-29 15:49:35.352872,438.8,20.0,0.47,1950553,442.0,20.0,0.51,1704709,0
NA1_5097467966,2024-08-29 15:50:55.393025,198.8,20.0,0.53,654335,420.0,20.0,0.49,1823625,0
NA1_5095841946,2024-08-29 15:51:23.044669,270.6,20.0,0.52,705413,318.8,20.0,0.52,271363,0
NA1_5095189516,2024-08-29 15:51:50.440396,471.4,20.0,0.56,2934267,321.8,20.0,0.53,756326,0
NA1_5012106428,2024-08-29 15:53:10.614697,455.6,20.0,0.52,166803,423.0,20.0,0.53,2744388,0
NA1_5012091341,2024-08-29 15:53:39.122704,509.8,20.0,0.53,931900,312.2,20.0,0.52,1034605,1
NA1_5008587183,2024-08-29 15:54:58.766211,334.4,20.0,0.53,4954268,212.4,20.0,0.51,1126190,1
NA1_5069293840,2024-08-29 15:55:27.137667,543.6,20.0,0.53,822925,290.2,20.0,0.47,191114,1
NA1_5069241094,2024-08-29 15:55:55.438524,710.6,20.0,0.55,639209,255.2,20.0,0.48,182974,1
NA1_5069193436,2024-08-29 15:57:14.319254,427.0,20.0,0.53,509260,323.0,20.0,0.54,1720323,1
NA1_5068490641,2024-08-29 15:57:42.651136,383.4,16.4,0.5,803293,385.8,20.0,0.48,1775776,0
NA1_5068464594,2024-08-29 15:59:02.243911,260.4,20.0,0.51,4202370,648.4,20.0,0.5,1805175,1
NA1_5068415777,2024-08-29 15:59:29.726218,417.8,20.0,0.52,971727,500.8,20.0,0.49,4987433,1
NA1_5081708852,2024-08-29 15:59:57.494353,163.8,20.0,0.55,749540,217.8,20.0,0.45,611667,1
NA1_5081683864,2024-08-29 16:01:17.551878,382.6,20.0,0.54,1108751,255.8,20.0,0.43,1137906,1
NA1_5081638800,2024-08-29 16:01:45.223461,467.2,20.0,0.45,1213559,545.8,20.0,0.47,2805397,1
NA1_5087882340,2024-08-29 16:03:04.760554,504.4,20.0,0.58,2543800,315.6,20.0,0.47,490231,1
NA1_5087838768,2024-08-29 16:03:32.392563,397.4,20.0,0.46,1316079,272.4,20.0,0.56,1111989,0
NA1_5087791995,2024-08-29 16:05:14.332564,514.0,20.0,0.51,409712,402.8,20.0,0.46,2439350,0
NA1_5038896818,2024-08-29 16:05:42.208394,581.8,17.6,0.54,457410,632.2,20.0,0.47,2034354,0
NA1_5038882934,2024-08-29 16:06:10.342880,380.6,20.0,0.5,384590,438.4,17.6,0.55,1051625,1
NA1_5038866492,2024-08-29 16:07:08.794139,401.4,17.6,0.52,520536,366.6,20.0,0.5,221923,1
NA1_5096063575,2024-08-29 16:07:36.718618,297.8,18.4,0.55,2434576,416.8,20.0,0.5,661034,1
NA1_5095979034,2024-08-29 16:08:56.952170,478.6,20.0,0.48,749413,148.6,18.6,0.53,590707,1
NA1_5095967160,2024-08-29 16:09:24.596887,283.0,20.0,0.51,1685477,215.0,20.0,0.6,592595,0
NA1_5088755854,2024-08-29 16:09:52.263067,612.6,20.0,0.47,1865310,350.8,20.0,0.49,1090669,1
NA1_5088713383,2024-08-29 16:11:12.163950,424.0,20.0,0.49,786037,303.6,20.0,0.5,855709,1
NA1_5088685879,2024-08-29 16:11:40.459116,283.0,20.0,0.58,319957,390.4,20.0,0.48,502665,1
NA1_5093155425,2024-08-29 16:12:59.609878,207.2,20.0,0.59,528132,106.4,20.0,0.49,471136,1
NA1_5089456225,2024-08-29 16:13:27.153887,198.4,20.0,0.54,264580,371.2,20.0,0.5,1350680,1
NA1_5089434482,2024-08-29 16:13:55.187662,388.6,20.0,0.5,1835673,230.8,20.0,0.48,732917,1
NA1_5021134205,2024-08-29 16:15:15.753189,107.0,20.0,0.56,114245,316.2,20.0,0.55,190291,0
NA1_5021113466,2024-08-29 16:15:43.527162,260.2,20.0,0.51,728031,345.2,20.0,0.56,614881,1
NA1_5021097021,2024-08-29 16:17:03.485183,355.4,20.0,0.46,506030,254.2,20.0,0.51,418418,0
NA1_5096989893,2024-08-29 16:17:31.175575,311.4,20.0,0.45,638256,383.8,20.0,0.52,1221661,0
NA1_5096923096,2024-08-29 16:18:51.563565,498.0,20.0,0.51,1430135,261.8,20.0,0.48,702548,0
NA1_5095520229,2024-08-29 16:19:19.392903,212.8,20.0,0.5,294168,460.6,20.0,0.5,678607,1
NA1_5070790049,2024-08-29 16:20:11.056541,149.4,20.0,0.53,548881,476.6,20.0,0.46,1523770,1
NA1_5070731584,2024-08-29 16:21:06.702023,290.0,20.0,0.53,1442512,227.4,20.0,0.48,857878,0
NA1_5070676802,2024-08-29 16:21:35.009031,305.0,20.0,0.47,1274020,110.4,20.0,0.54,774166,0
NA1_5084307417,2024-08-29 16:22:54.386980,226.8,20.0,0.49,417330,395.0,20.0,0.51,934983,0
NA1_5084270138,2024-08-29 16:23:22.374435,348.8,20.0,0.49,297205,363.4,20.0,0.5,508280,0
NA1_5084238219,2024-08-29 16:23:50.290026,382.6,20.0,0.48,2814717,367.2,20.0,0.48,330437,1
NA1_5080274349,2024-08-29 16:25:10.517845,324.8,20.0,0.49,553297,197.4,20.0,0.5,2576505,1
NA1_5080205141,2024-08-29 16:25:38.731478,591.8,20.0,0.5,1198861,524.6,20.0,0.51,2116620,1
NA1_5080156789,2024-08-29 16:26:57.940623,225.2,20.0,0.41,724551,215.2,17.2,0.49,1352468,0
NA1_5066483535,2024-08-29 16:27:25.537851,262.4,20.0,0.52,1529786,260.4,20.0,0.44,1130903,1
NA1_5066431770,2024-08-29 16:27:53.208562,385.2,20.0,0.47,2682558,211.0,20.0,0.55,175919,0
NA1_5061846965,2024-08-29 16:29:13.054234,375.6,20.0,0.48,1082754,376.4,20.0,0.45,3199776,1
NA1_5094840076,2024-08-29 16:29:40.826282,206.8,18.2,0.52,1399901,374.2,20.0,0.51,1734659,1
NA1_5094821869,2024-08-29 16:31:01.374936,427.4,18.2,0.53,1217789,316.0,19.0,0.61,368171,0
NA1_5090787747,2024-08-29 16:31:29.452655,147.6,18.2,0.51,400630,314.8,20.0,0.5,424236,0
NA1_5096056890,2024-08-29 16:31:57.448180,540.6,20.0,0.53,4136387,231.6,20.0,0.5,3993392,1
NA1_5095997541,2024-08-29 16:33:16.901864,432.0,20.0,0.49,1539493,605.4,20.0,0.48,2249747,1
NA1_5095978841,2024-08-29 16:33:44.558664,457.2,20.0,0.5,1472340,115.6,17.6,0.62,461595,0
NA1_5095474704,2024-08-29 16:35:04.821117,455.8,20.0,0.53,727442,112.2,20.0,0.52,384297,1
NA1_5095452310,2024-08-29 16:35:32.722174,335.6,20.0,0.52,1118766,448.4,20.0,0.5,289964,1
NA1_5095436346,2024-08-29 16:36:52.428902,227.0,20.0,0.51,1214483,286.8,20.0,0.48,1506058,1
NA1_5097207912,2024-08-29 16:37:20.503177,579.4,20.0,0.48,10476039,200.0,20.0,0.57,415887,0
NA1_5097154534,2024-08-29 16:37:48.490423,408.2,20.0,0.51,851812,489.2,20.0,0.52,812768,0
NA1_5096354145,2024-08-29 16:39:07.977956,445.0,20.0,0.46,796939,551.0,20.0,0.48,1861833,1
NA1_5084209647,2024-08-29 16:39:36.153826,433.2,20.0,0.48,1135614,329.4,20.0,0.47,791860,1
NA1_5084163683,2024-08-29 16:40:55.896690,340.2,20.0,0.49,1020985,261.8,20.0,0.47,932656,1
NA1_5053890273,2024-08-29 16:41:24.085866,338.8,20.0,0.5,663729,393.2,20.0,0.45,437589,1
NA1_5097391868,2024-08-29 16:41:53.268386,344.2,20.0,0.57,3626013,331.6,20.0,0.43,2567268,1
NA1_5097165542,2024-08-29 16:43:11.189941,183.4,20.0,0.5,878430,53.4,20.0,0.57,222093,0
NA1_5097103030,2024-08-29 16:43:38.932889,654.8,20.0,0.47,3262511,397.4,20.0,0.49,437859,1
NA1_5032555053,2024-08-29 16:44:59.733873,378.0,20.0,0.59,612524,394.8,20.0,0.55,1011793,0
NA1_5032527645,2024-08-29 16:45:27.773938,280.6,20.0,0.61,337886,264.4,20.0,0.53,855262,1
NA1_5032470666,2024-08-29 16:45:55.589369,267.4,20.0,0.62,337442,293.4,20.0,0.52,347697,1
NA1_5050201810,2024-08-29 16:47:15.351950,310.0,16.6,0.52,1820774,442.6,19.2,0.55,625565,1
NA1_5038427192,2024-08-29 16:47:43.023933,451.6,19.2,0.52,334729,236.2,20.0,0.54,1384444,0
NA1_5038416160,2024-08-29 16:49:02.434907,440.4,20.0,0.51,504565,413.8,19.2,0.51,464416,1
NA1_5097152563,2024-08-29 16:49:30.448517,224.2,20.0,0.52,1756993,425.0,20.0,0.5,715256,1
NA1_5097110399,2024-08-29 16:49:58.044891,223.8,20.0,0.53,607497,245.8,20.0,0.49,1469289,0
NA1_5097059377,2024-08-29 16:51:18.827166,258.2,20.0,0.51,437137,291.0,20.0,0.5,2024970,1
NA1_5077673907,2024-08-29 16:51:51.791303,178.2,20.0,0.56,1196494,430.4,20.0,0.5,724713,1
NA1_5063279896,2024-08-29 16:53:05.892854,534.0,20.0,0.52,615235,326.0,20.0,0.52,417232,0
NA1_5038914792,2024-08-29 16:53:33.814662,250.0,20.0,0.56,1396081,415.0,20.0,0.52,646040,1
NA1_5017966691,2024-08-29 16:54:54.278961,287.0,20.0,0.54,843230,253.8,20.0,0.48,885743,1
NA1_5017944073,2024-08-29 16:55:22.742567,518.4,20.0,0.53,2052727,408.4,20.0,0.43,2280509,1
NA1_5017187465,2024-08-29 16:55:50.827962,364.0,20.0,0.52,1060149,275.8,20.0,0.42,844464,1
NA1_5096221728,2024-08-29 16:57:09.612138,459.8,20.0,0.48,3034926,273.6,20.0,0.54,566835,0
NA1_5096193715,2024-08-29 16:57:37.340802,311.4,20.0,0.51,1892812,388.2,20.0,0.47,788168,1
NA1_5096157685,2024-08-29 16:58:56.988904,209.0,17.6,0.5,812731,367.2,20.0,0.51,2380438,0
NA1_5040222689,2024-08-29 16:59:25.218892,409.6,20.0,0.5,2122401,411.4,20.0,0.5,2690479,0
NA1_5029623129,2024-08-29 16:59:53.210463,374.4,20.0,0.47,333727,546.0,20.0,0.51,2160948,0
NA1_5027162256,2024-08-29 17:01:13.324599,301.8,20.0,0.48,414916,493.0,20.0,0.5,1148538,0
NA1_5050090538,2024-08-29 17:01:41.607860,271.2,20.0,0.49,1041465,253.4,20.0,0.51,282105,0
NA1_5050009386,2024-08-29 17:03:00.736272,312.4,20.0,0.49,458782,205.8,20.0,0.51,969088,1
NA1_5038786047,2024-08-29 17:03:28.512822,250.0,20.0,0.54,483298,296.2,20.0,0.51,907463,1
NA1_5097131745,2024-08-29 17:03:56.576890,474.0,20.0,0.49,610609,308.8,20.0,0.51,607320,1
NA1_5097088112,2024-08-29 17:05:16.472862,521.8,20.0,0.48,179246,266.6,20.0,0.48,1023080,0
NA1_5091968658,2024-08-29 17:05:44.492964,222.8,20.0,0.45,151989,340.4,20.0,0.52,3112468,0
NA1_5095811467,2024-08-29 17:07:04.044933,376.2,20.0,0.48,784449,617.6,17.4,0.47,1315165,0
NA1_5095685892,2024-08-29 17:07:31.817322,387.4,20.0,0.51,665496,389.6,20.0,0.47,225755,1
NA1_5093622894,2024-08-29 17:08:51.685301,749.6,20.0,0.51,1171205,296.2,20.0,0.49,563146,0
NA1_5090144843,2024-08-29 17:09:19.809910,393.2,20.0,0.49,666710,485.0,20.0,0.51,297276,0
NA1_5090094978,2024-08-29 17:09:47.750869,346.6,20.0,0.48,1474825,498.0,20.0,0.51,2532059,0
NA1_5090054615,2024-08-29 17:11:07.425570,276.4,18.0,0.5,200352,423.4,20.0,0.5,2376894,0
NA1_5025789089,2024-08-29 17:11:35.335920,321.2,20.0,0.48,2253749,223.8,20.0,0.55,534106,0
NA1_5025775498,2024-08-29 17:12:55.252524,526.8,20.0,0.5,2790004,437.8,20.0,0.48,1101351,1
NA1_5016350239,2024-08-29 17:13:23.357910,264.2,20.0,0.48,618664,382.2,20.0,0.53,2200506,0
NA1_5096345800,2024-08-29 17:13:50.973852,262.0,20.0,0.58,1193102,401.6,20.0,0.51,587817,1
NA1_5096314563,2024-08-29 17:15:10.266973,308.8,20.0,0.5,1146554,531.6,20.0,0.49,697735,1
NA1_5095674105,2024-08-29 17:15:37.369114,323.2,20.0,0.51,1656102,469.6,20.0,0.51,836038,0
NA1_5096919876,2024-08-29 17:16:58.734571,511.4,20.0,0.58,803034,186.4,17.6,0.49,1385080,1
NA1_5096883001,2024-08-29 17:17:26.613236,356.2,20.0,0.55,711665,428.2,20.0,0.51,395178,1
NA1_5046692634,2024-08-29 17:17:54.458886,280.0,20.0,0.55,1869695,514.2,20.0,0.48,1485619,1
NA1_5073388839,2024-08-29 17:19:13.989947,324.4,20.0,0.5,3371342,245.2,20.0,0.56,504862,0
NA1_5073329554,2024-08-29 17:19:41.464933,403.0,20.0,0.51,813729,322.6,20.0,0.54,177744,0
NA1_5037264610,2024-08-29 17:21:02.517945,334.8,20.0,0.54,292829,356.8,20.0,0.49,519420,1
NA1_5062659449,2024-08-29 17:21:31.046408,472.2,20.0,0.51,1922537,319.0,20.0,0.53,1066697,0
NA1_5062641928,2024-08-29 17:21:58.434149,458.4,20.0,0.51,1290625,304.6,20.0,0.54,2529849,0
NA1_5062626794,2024-08-29 17:23:17.476472,325.0,20.0,0.53,1627045,456.0,20.0,0.53,480549,1
NA1_5096393094,2024-08-29 17:23:45.840239,163.0,20.0,0.47,119249,243.8,20.0,0.46,379049,0
NA1_5096371160,2024-08-29 17:25:04.919300,311.8,20.0,0.52,2065576,386.0,20.0,0.56,831725,0
NA1_5096341267,2024-08-29 17:25:32.616363,232.8,20.0,0.52,306785,259.8,20.0,0.5,773579,1
NA1_5022582208,2024-08-29 17:26:53.498852,315.6,20.0,0.51,900477,289.2,18.0,0.31,1600199,1
NA1_5022568118,2024-08-29 17:27:21.508566,482.6,20.0,0.52,1989858,412.6,18.0,0.29,1316965,1
NA1_5022545231,2024-08-29 17:27:49.470951,314.8,20.0,0.46,723370,314.4,18.0,0.24,1116630,1
NA1_5096174294,2024-08-29 17:29:08.712994,160.4,20.0,0.53,131607,283.6,20.0,0.55,921661,1
NA1_5095694868,2024-08-29 17:29:36.218848,235.6,20.0,0.52,228402,250.0,20.0,0.56,213996,1
NA1_5095657662,2024-08-29 17:30:56.874145,294.2,20.0,0.5,1161520,404.8,20.0,0.55,640867,0
NA1_5091636986,2024-08-29 17:31:25.799174,492.0,20.0,0.47,780821,523.2,20.0,0.49,4155869,1
NA1_5089693739,2024-08-29 17:31:53.329554,384.0,20.0,0.59,668037,320.0,20.0,0.53,212579,1
NA1_5089654397,2024-08-29 17:33:12.049725,339.4,20.0,0.52,138051,323.4,20.0,0.48,575166,1
NA1_5024726512,2024-08-29 17:33:39.514998,275.6,20.0,0.49,422092,327.4,20.0,0.49,200433,1
NA1_5023726537,2024-08-29 17:35:00.696018,296.6,20.0,0.5,963202,308.0,20.0,0.46,871071,1
NA1_5023723429,2024-08-29 17:35:28.706141,543.4,20.0,0.48,1305355,297.0,20.0,0.48,924530,0
NA1_5090607131,2024-08-29 17:35:56.812925,217.2,20.0,0.49,853340,185.4,20.0,0.53,499662,1
NA1_5089480944,2024-08-29 17:37:15.428557,186.0,20.0,0.55,204657,133.4,20.0,0.57,39854,0
NA1_5089428495,2024-08-29 17:37:43.096979,463.8,20.0,0.49,708098,478.4,20.0,0.52,1055122,0
NA1_5011612066,2024-08-29 17:39:03.009840,384.2,20.0,0.55,609763,301.2,18.6,0.51,2566694,0
NA1_5011573802,2024-08-29 17:39:31.476894,459.6,20.0,0.5,1887556,383.8,20.0,0.59,875313,0
NA1_5007486546,2024-08-29 17:40:51.577911,359.8,20.0,0.57,2103931,463.6,20.0,0.5,1808577,1
NA1_5095124203,2024-08-29 17:41:19.250185,460.6,20.0,0.52,1411875,517.0,20.0,0.47,1455596,1
