match_id,time,adap_ratio,balance_ratio,cc_sum,tank,engage,disengage,adc,mage,assassin,support,mid,top,jungle,bruiser,duelist,poke,hs,bot,win
NA1_5093155425,2025-01-14 02:44:17.057126,0.9199999999999999,0.8,15.5,0,2,1,1,1,0,2,2,3,1,2,0,2,1,1,0
NA1_5089456225,2025-01-14 02:44:17.951146,0.5399999999999998,1.0,16.5,1,0,2,1,0,2,2,2,1,2,0,0,0,1,1,1
NA1_5089456225,2025-01-14 02:44:17.951146,0.78,0.8,8.0,1,3,0,1,1,2,0,1,2,1,1,0,0,0,1,0
NA1_5089434482,2025-01-14 02:44:18.838864,0.5800000000000001,0.8,15.0,0,2,1,2,1,1,2,1,1,1,1,1,0,1,2,1
NA1_5089434482,2025-01-14 02:44:18.838864,0.96,1.0,15.0,2,1,0,1,1,1,1,1,2,1,2,1,1,0,1,0
NA1_5021134205,2025-01-14 02:44:19.703836,0.8800000000000001,1.0,20.0,3,0,2,1,1,1,2,2,2,2,1,0,0,0,1,0
NA1_5021134205,2025-01-14 02:44:19.703836,0.8599999999999999,0.8,23.5,2,2,0,1,1,1,2,2,1,0,1,0,1,0,1,1
NA1_5021113466,2025-01-14 02:44:20.567813,0.8199999999999998,0.8,16.0,2,2,0,1,1,1,0,0,3,3,2,1,0,0,1,1
NA1_5021113466,2025-01-14 02:44:20.567813,0.6400000000000001,1.0,13.5,1,2,0,1,1,2,1,2,2,1,0,0,0,0,1,0
NA1_5021097021,2025-01-14 02:44:21.453865,0.54,0.8,13.0,0,1,0,2,1,2,1,2,1,2,0,0,0,0,2,0
NA1_5021097021,2025-01-14 02:44:21.453865,0.6000000000000001,0.8,11.0,1,1,0,0,3,1,1,3,1,1,0,0,0,0,0,1
NA1_5099097757,2025-01-14 02:44:22.352701,0.8200000000000001,0.6,12.0,0,0,0,2,2,1,1,1,1,2,1,1,2,0,2,0
NA1_5099097757,2025-01-14 02:44:22.352701,0.45999999999999996,0.8,21.0,2,3,0,0,2,1,2,2,1,2,0,0,1,0,0,1
NA1_5099062484,2025-01-14 02:44:23.375661,0.54,0.8,13.5,0,1,0,2,1,0,2,1,1,1,1,1,1,1,2,1
NA1_5099062484,2025-01-14 02:44:23.375661,0.6800000000000002,1.0,15.5,1,1,0,0,3,0,1,3,2,1,1,0,1,0,1,0
NA1_5099030383,2025-01-14 02:44:24.339132,0.78,1.0,21.5,2,1,0,2,1,0,1,2,1,1,0,0,1,1,3,1
NA1_5099030383,2025-01-14 02:44:24.339132,0.7999999999999998,1.0,15.5,1,1,2,1,1,2,2,2,1,2,0,0,0,0,1,0
NA1_5098616134,2025-01-14 02:44:25.263843,0.8400000000000003,1.0,19.0,1,0,1,2,0,1,2,1,1,2,0,0,0,1,1,0
NA1_5098616134,2025-01-14 02:44:25.263843,0.6400000000000001,1.0,17.5,1,1,0,3,1,0,1,1,1,1,1,0,1,1,3,1
NA1_5098600178,2025-01-14 02:44:26.247062,0.8800000000000001,1.0,14.5,1,1,0,2,0,1,1,1,1,1,2,1,0,0,1,0
NA1_5098600178,2025-01-14 02:44:26.247062,0.6199999999999999,0.8,13.0,1,1,0,2,2,0,1,2,2,0,1,1,2,0,2,1
NA1_5098576734,2025-01-14 02:44:27.228828,0.74,1.0,16.5,1,1,1,1,2,1,1,2,1,1,0,0,2,1,3,1
NA1_5098576734,2025-01-14 02:44:27.228828,0.96,1.0,10.5,1,0,1,1,1,0,2,1,2,1,2,1,1,1,1,0
