233,20,0,670170,292,20,1,429081,0
385,20,1,1462278,315,20,0,1150247,0
231,20,0,1135572,271,20,1,443366,0
331,20,0,554092,313,20,1,1896001,0
551,20,0,1365670,329,20,0,311918,1
294,20,0,1161520,405,20,1,640867,0
655,20,0,3262511,397,20,0,437859,1
196,20,0,390176,379,20,0,126777,1
133,20,0,189187,459,20,0,231005,1
352,20,0,969371,464,20,0,2281566,0
168,19,0,176204,223,18,1,662468,0
444,20,0,426589,147,18,0,878722,1
401,18,1,520536,367,20,0,221923,1
343,20,0,1374163,441,20,1,1366411,0
353,20,0,1618755,521,20,0,728854,1
323,20,0,2832354,342,20,1,764663,1
86,19,1,90640,369,20,0,399677,1
484,20,0,1545089,501,20,0,350376,0
163,20,0,119249,244,20,0,379049,0
489,20,1,2046233,404,20,0,676697,0
406,20,1,2437153,346,20,0,624380,1
463,20,0,334558,457,20,1,429965,0
257,20,0,517862,472,20,1,999882,0
602,20,0,769363,365,20,0,2289964,0
301,18,0,1227536,191,20,0,99046,1
155,20,0,276463,359,20,0,1029478,0
190,20,0,797124,186,20,0,836333,0
438,20,0,396886,323,20,0,2269473,1
487,20,0,1767198,308,20,0,1222074,1
160,20,0,1486414,331,20,0,1751301,1
164,20,1,749540,218,20,0,611667,1
316,20,0,539870,305,20,0,622581,1
397,17,1,510580,279,20,0,92812,1
209,20,0,210110,256,17,1,1155824,0
417,20,0,1642395,279,20,1,449946,0
321,20,0,2253749,224,20,1,534106,0
312,20,0,664407,380,20,0,470747,1
393,20,0,666710,485,20,1,297276,0
440,20,1,504565,414,19,1,464416,1
306,20,0,1063750,388,20,1,2015757,1
254,14,0,999088,346,18,1,96456,0
215,18,0,417856,278,18,1,636480,0
206,20,1,504044,382,20,0,600417,1
318,20,1,435336,343,20,1,980726,0
171,19,1,297707,208,17,0,175551,1
385,20,0,2682558,211,20,1,175919,0
419,20,0,640735,409,20,1,1816562,1
107,20,1,114245,316,20,1,190291,0
307,20,0,794426,531,20,1,248656,1
143,20,0,206987,544,20,0,977845,1
289,20,0,87839,372,19,0,118128,0
236,20,1,228402,250,20,1,213996,1
325,20,0,676226,303,20,0,727046,1
303,20,1,1724127,307,20,0,868668,0
549,20,1,725579,382,20,1,831870,0
550,20,0,1493516,307,20,1,663118,1
391,20,0,438683,330,20,0,916191,1
327,20,0,905460,346,20,0,436521,1
304,20,0,373668,193,18,1,68620,0
367,20,0,394858,304,20,1,1577489,0
375,20,0,576371,463,17,0,1054630,1
258,20,1,437137,291,20,0,2024970,1
344,20,1,880840,275,20,0,484699,1
470,20,0,2312375,478,20,0,363007,1
210,20,1,274506,255,20,1,311554,1
366,20,0,791201,568,20,1,953156,0
327,20,1,606746,395,20,1,466638,0
401,20,0,256010,558,20,0,930753,1
651,20,1,3635906,655,20,1,605989,1
203,20,0,840563,192,14,0,200449,0
176,20,0,370748,429,20,0,1789357,0
404,20,1,505298,473,20,0,668400,1
276,18,0,200352,423,20,0,2376894,0
167,20,1,223031,503,20,1,582014,0
532,20,1,1248773,330,20,0,1320729,1
303,20,0,1523721,182,20,1,144318,1
266,20,1,567201,574,20,0,321159,1
273,20,1,374378,294,16,1,189564,0
361,20,1,328871,296,20,1,389288,0
323,20,1,1656102,470,20,1,836038,0
287,20,1,1304737,293,17,0,928398,1
209,18,0,812731,367,20,1,2380438,0
168,20,0,1101709,212,20,1,368950,0
213,20,0,324926,159,20,1,193671,1
388,20,1,282591,470,20,1,573725,1
303,20,0,199402,180,20,0,146880,1
324,20,0,419953,146,20,0,503672,1
567,16,0,473265,547,20,1,1058746,0
257,20,0,554439,390,20,0,279641,0
275,20,0,507807,181,20,0,1852823,0
221,20,1,538354,220,20,1,342247,1
433,20,0,755088,254,20,1,228060,0
490,19,1,852574,113,20,1,144686,1
335,20,1,292829,357,20,0,519420,1
336,20,0,2452860,382,20,0,631788,0
579,20,0,10476039,200,20,1,415887,0
250,17,1,717425,484,18,1,896082,1
384,20,1,510342,350,18,1,265906,1
212,20,1,760759,358,20,0,245748,1
452,20,1,1676977,244,20,1,243563,1
270,20,1,838344,384,20,0,956779,1
540,20,0,1796811,283,17,1,848311,1
252,20,0,970016,304,20,1,1173482,0
298,18,1,2434576,417,20,0,661034,1
217,20,1,1348673,291,20,0,847107,1
443,20,0,1391642,345,20,0,2143342,0
504,20,1,2543800,316,20,0,490231,1
304,20,1,374653,266,20,1,770283,0
381,20,1,1031370,612,20,0,1096414,1
376,20,0,1985597,222,20,0,2034952,1
276,20,0,1091383,260,20,1,236377,0
344,20,1,3626013,332,20,0,2567268,1
172,19,0,440289,293,19,0,428700,1
313,20,0,2955324,271,20,0,965662,1
430,20,1,513534,285,20,1,174581,1
385,20,0,724105,212,19,0,370565,0
257,19,0,716816,271,20,1,347787,0
531,20,0,2608581,490,20,1,277470,0
277,20,1,173595,420,20,0,572213,1
389,20,0,1835673,231,20,0,732917,1
313,20,1,537338,245,20,0,330216,0
384,20,1,609763,301,19,1,2566694,0
264,20,0,853768,307,20,1,699439,0
464,20,0,708098,478,20,1,1055122,0
387,20,1,665496,390,20,0,225755,1
441,20,0,325137,364,20,0,240733,1
107,19,0,986814,223,20,0,91529,1
224,20,0,3614177,354,20,0,3240684,1
320,20,0,528228,404,20,0,486576,1
466,20,1,902696,219,19,1,332348,1
338,20,0,541430,336,20,0,357730,0
446,20,1,592127,300,20,0,745219,1
319,20,0,1144456,371,20,1,193604,1
192,17,0,289218,292,20,0,537577,1
291,20,0,284420,225,20,0,863671,1
229,20,0,1045372,309,20,0,780522,1
517,20,0,1909048,342,20,0,935389,0
510,20,1,931900,312,20,1,1034605,1
439,20,0,1950553,442,20,1,1704709,0
309,20,0,1146554,532,20,0,697735,1
305,20,0,1274020,110,20,1,774166,0
183,20,0,1113539,480,20,0,750296,0
455,20,1,423445,241,20,0,390381,1
113,17,0,175322,276,20,0,506144,0
256,20,0,426696,333,20,1,772684,0
278,20,0,1143952,405,20,1,1633383,1
403,20,1,813729,323,20,1,177744,0
470,20,0,287340,325,20,0,1501525,1
314,20,0,703806,264,20,0,920017,0
524,20,0,901578,324,20,1,1020881,0
